1	2	10
2	1	10
2	3	8
3	2	8
3	4	4
3	38	3
3	47	6
4	3	4
4	5	7
5	4	7
5	6	5
5	35	6
5	36	7
6	5	5
6	7	4
7	6	4
7	8	4
7	15	3
7	16	4
8	7	4
8	9	12
8	24	4
8	25	3
9	8	12
9	10	8
10	9	8
10	11	14
10	42	4
10	43	4
11	10	7
11	12	7
12	11	7
13	14	9
14	13	9
14	15	6
14	22	5
14	39	2
15	14	6
15	7	3
15	34	6
15	35	3
16	7	4
16	17	5
17	16	5
17	18	8
17	25	6
17	26	5
18	17	8
18	19	20
18	44	5
18	45	6
19	18	20
19	20	15
20	19	15
21	22	17
22	14	5
22	21	17
22	23	8
22	40	5
23	22	8
23	24	6
24	23	6
24	8	4
24	33	4
24	34	4
25	8	3
25	17	6
26	17	5
26	27	11
27	26	11
27	28	6
28	27	6
28	29	23
28	30	16
28	45	10
28	46	17
29	28	23
30	28	16
31	32	18
32	31	18
32	33	10
32	41	3
32	42	3
33	32	10
33	24	4
34	24	4
34	15	6
35	15	3
35	5	6
36	5	7
36	37	4
37	36	4
37	46	6
37	47	6
37	48	30
38	3	3
38	39	11
39	38	11
39	14	2
40	22	5
40	41	14
41	40	14
41	32	3
42	32	3
42	10	4
43	44	11
44	43	11
44	18	5
45	18	6
45	28	10
46	28	17
46	37	6
47	37	6
47	3	6
48	37	30
